"id","startHour","startWeekday","duration","clickCount","clickMinPrice","clickMaxPrice","cartCount","cartMinPrice","cartMaxPrice","cartSumPrice","onlineStatus","availability","maxVal","customerScore","accountLifetime","payments","age","addressType","lastOrder","order"
3,14,7,2910.614,49,"3.99","29.99",2,"8.39","14.99","23.38","y","completely orderable","2200","553","221","19","44","2","70","y"
4,13,5,1972.278,64,"14.99","119.99",6,"14.99","49.99","167.94","y","completely orderable","1000","546","31","1","45","1","148","n"
6,13,6,809.738,12,"19.99","49.99",3,"19.99","39.99","84.97","y","completely orderable","1500","512","208","8","38","1","4","y"
7,18,6,5459.923,73,"3.99","129.95",4,"12.99","59.99","172.96","y","completely orderable","1600","598","223","10","48","2","19","y"
8,20,6,1168.35,9,"6.99","79.99",9,"6.99","79.99","273.91","y","completely orderable","2500","495","321","6","58","2","69","y"
10,12,6,453.324,14,"19.99","89.95",3,"19.99","34.95","79.93","y","completely orderable","4000","530","222","11","45","2","74","n"
11,19,6,352.323,5,"24.99","99.99",1,"99.99","99.99","99.99","y","completely orderable","600","503","51","2","39","2","3","n"
12,13,5,3308.17,64,"6.99","49.99",10,"7.99","49.99","218.9","y","completely orderable","4000","554","227","16","39","2","17","y"
13,20,6,1132.967,41,"7.0","34.99",2,"9.99","12.0","21.99","?","?","7500","516","223","88","42","2","13","n"
14,11,7,289.306,11,"29.99","79.99",2,"49.99","49.99","99.98","?","?","4000","70","212","0","46","1","679","n"
16,16,5,0,1,"6.99","6.99",1,"6.99","6.99","6.99","?","?","300","537","5","0","53","1","32","n"
18,11,5,27.563,1,"6.99","6.99",1,"6.99","6.99","6.99","y","completely orderable","300","537","5","0","53","1","32","n"
19,20,6,1883.756,5,"12.99","24.99",2,"12.99","24.99","37.98","y","completely orderable","300","408","0","0","23","2","28","n"
20,16,6,4072.548,39,"7.5","89.99",0,"?","?","?","y","completely orderable","800","474","96","10","44","2","201","n"
21,14,7,1633.927,63,"9.99","59.99",20,"9.99","59.99","455.8","y","completely orderable","2500","526","340","11","48","2","43","y"
22,18,7,4597.78,76,"1.0","42.99",4,"10.0","42.99","92.97","y","completely orderable","600","509","21","6","22","2","53","y"
23,16,7,5759.162,164,"3.0","84.99",19,"5.0","84.99","374.87","y","completely orderable","4000","572","45","8","27","2","59","y"
24,16,6,1017.044,3,"12.99","12.99",1,"12.99","12.99","12.99","y","completely orderable","300","583","203","2","49","2","157","y"
25,17,6,492.156,22,"19.99","64.99",6,"19.99","39.99","159.94","y","completely orderable","3000","494","313","17","48","1","9","y"
31,19,6,5469.097,36,"3.99","1199.99",10,"3.99","49.99","243.9","y","completely orderable","300","403","13","4","42","2","66","y"
32,0,6,20.678,1,"6.99","6.99",1,"6.99","6.99","6.99","y","completely orderable","300","537","5","0","53","1","32","n"
33,2,7,2200.918,12,"9.99","49.99",4,"12.99","49.99","117.96","?","?","600","548","54","5","35","1","206","n"
35,20,5,238.388,1,"59.99","59.99",1,"59.99","59.99","59.99","y","completely orderable","1000","595","38","23","30","1","22","y"
36,21,6,239.992,6,"14.99","14.99",1,"14.99","14.99","14.99","y","completely orderable","600","546","9","6","22","2","118","y"
37,7,7,1183.96,5,"449.99","449.99",1,"449.99","449.99","449.99","y","completely orderable","3000","510","86","16","38","2","34","n"
38,18,5,2463.107,95,"9.99","79.95",14,"14.99","79.95","591.52","y","completely orderable","4000","70","95","0","35","2","129","y"
39,11,7,1213.349,29,"24.99","1199.0",1,"699.0","699.0","699.0","y","completely orderable","4000","510","360","11","75","1","7","y"
40,19,6,421.226,6,"3.99","9.99",3,"3.99","9.99","17.97","y","completely orderable","600","579","146","2","45","2","86","y"
43,12,5,2226.299,11,"19.99","139.99",4,"19.99","139.99","239.96","y","completely orderable","1700","524","53","11","37","2","174","n"
44,19,5,32.061,2,"9.99","9.99",1,"9.99","9.99","9.99","?","?","200","459","84","4","28","2","65","n"
45,12,7,1062.037,47,"4.99","29.99",7,"4.99","29.99","159.93","y","completely orderable","2500","511","217","9","56","2","13","y"
46,17,5,1644.73,14,"0.8","9.99",4,"0.8","9.99","26.69","y","completely orderable","1400","514","23","16","48","2","17","y"
47,14,5,891.367,8,"3.99","19.99",4,"3.99","19.99","58.96","y","completely orderable","2100","565","240","84","44","2","14","y"
48,19,5,177.409,3,"89.99","89.99",1,"89.99","89.99","89.99","y","completely orderable","2800","499","130","10","34","2","28","y"
49,16,7,14420.927,138,"3.99","449.99",23,"3.99","79.99","461.83","y","completely orderable","2900","548","219","14","49","2","10","y"
50,12,6,399.587,15,"9.99","79.99",5,"12.99","79.99","167.95","y","completely orderable","5000","579","183","14","37","2","4","y"
51,16,6,883.55,30,"9.99","39.99",1,"19.99","19.99","19.99","?","?","300","557","74","2","38","2","144","n"
52,14,7,328.543,9,"7.0","59.95",1,"8.0","8.0","8.0","?","?","900","483","34","22","53","1","54","n"
53,15,6,7511.916,69,"19.99","379.99",1,"29.99","29.99","29.99","y","completely orderable","1800","508","219","21","68","1","17","y"
54,14,7,579.939,13,"9.99","79.99",6,"9.99","79.99","145.94","y","completely orderable","2200","410","208","3","58","2","52","y"
55,10,6,6728.694,34,"79.99","1299.99",1,"699.99","699.99","699.99","y","completely orderable","?","?","?","0","68","2","3","y"
56,11,7,263.805,7,"3.99","17.99",3,"3.99","17.99","31.97","y","completely orderable","4000","513","180","6","44","2","14","y"
57,14,7,33.585,3,"189.99","189.99",1,"189.99","189.99","189.99","?","?","1400","429","11","6","34","2","280","n"
58,13,5,88.168,3,"7.95","7.95",1,"7.95","7.95","7.95","y","completely orderable","300","447","2","1","28","2","72","y"
59,17,6,258.373,3,"14.99","14.99",1,"14.99","14.99","14.99","y","completely orderable","2900","613","172","14","41","1","32","y"
60,18,5,2759.132,43,"6.99","19.99",2,"7.99","7.99","15.98","y","completely orderable","500","582","6","1","51","2","69","y"
61,0,7,254.029,4,"24.99","24.99",2,"24.99","24.99","49.98","y","completely orderable","600","508","15","1","38","1","19","y"
62,14,7,832.473,17,"9.0","22.99",5,"9.0","22.99","77.97","y","completely orderable","4000","588","84","9","51","2","19","n"
63,12,7,10.223,1,"6.99","6.99",1,"6.99","6.99","6.99","y","completely orderable","300","537","5","0","53","1","34","n"
64,18,6,1544.659,18,"5.99","39.99",4,"5.99","39.99","65.96","y","completely orderable","8000","513","223","11","58","2","39","y"
65,12,7,731.319,6,"59.0","59.99",2,"59.0","59.99","118.99","y","completely orderable","1200","603","91","9","51","1","118","y"
66,13,6,369.747,7,"3.99","19.99",3,"3.99","19.99","33.97","y","completely orderable","300","439","2","3","45","1","51","y"
67,9,7,2389.002,45,"4.99","29.99",16,"9.99","29.99","319.84","?","?","300","466","91","9","34","2","300","n"
68,17,5,499.022,17,"69.95","99.95",2,"69.95","69.95","139.9","y","completely orderable","2300","425","220","11","45","2","49","y"
69,11,7,1140.144,13,"49.99","49.99",1,"49.99","49.99","49.99","?","?","4000","614","118","4","58","1","8","n"
70,12,6,266.014,1,"39.99","39.99",1,"39.99","39.99","39.99","y","completely orderable","900","474","82","6","36","1","345","y"
71,18,7,2821.016,29,"10.95","75.99",4,"10.95","75.99","132.29","y","completely orderable","1200","544","112","34","39","2","7","y"
72,8,5,466.154,4,"14.99","229.99",4,"14.99","229.99","514.96","y","completely orderable","1700","588","220","7","61","2","141","y"
73,14,5,35.038,4,"25.0","25.0",1,"25.0","25.0","25.0","?","?","1400","510","181","6","50","2","137","n"
75,14,6,779.571,6,"7.99","9.99",1,"7.99","7.99","7.99","?","?","300","429","1","1","37","2","33","n"
77,9,7,1490.114,26,"7.0","110.0",4,"29.99","49.99","159.96","y","completely orderable","200","557","74","9","32","2","70","y"
78,14,7,0,1,"3.99","3.99",1,"3.99","3.99","3.99","?","?","600","553","220","11","43","2","22","n"
79,18,6,2465.302,31,"14.99","89.99",2,"24.99","24.99","49.98","y","completely orderable","1300","450","189","23","37","1","4","y"
82,9,5,99.374,2,"89.99","89.99",1,"89.99","89.99","89.99","y","completely orderable","10000","494","21","92","56","2","10","n"
83,15,6,6086.74,94,"3.99","39.99",9,"3.99","24.99","111.91","y","completely orderable","600","558","19","1","33","2","170","y"
84,17,6,1109.599,36,"9.99","169.99",2,"9.99","37.99","47.98","y","completely orderable","2500","527","211","7","41","2","8","y"
85,13,6,33.881,1,"2049.99","2049.99",1,"2049.99","2049.99","2049.99","y","completely orderable","2900","535","223","31","52","2","4","n"
86,15,5,609.817,24,"7.99","79.99",6,"7.99","49.99","122.94","y","completely orderable","1800","454","33","23","45","2","11","y"
87,9,6,409.803,3,"24.99","24.99",1,"24.99","24.99","24.99","y","completely orderable","800","479","350","8","57","2","9","y"
88,16,5,475.521,11,"14.99","34.95",2,"14.99","14.99","29.98","y","completely orderable","600","70","11","2","54","2","372","y"
89,4,6,360.27,2,"9.99","9.99",1,"9.99","9.99","9.99","y","completely orderable","2900","426","55","6","39","1","15","n"
90,20,5,8.005,1,"6.99","6.99",1,"6.99","6.99","6.99","y","completely orderable","300","537","5","0","53","1","32","n"
91,19,5,291.932,6,"699.0","699.0",1,"699.0","699.0","699.0","y","?","300","415","0","0","47","1","27","n"
92,14,6,107.101,4,"19.99","39.99",3,"19.99","39.99","99.97","y","completely orderable","4000","582","243","8","48","2","61","y"
94,12,6,4186.784,27,"12.99","29.99",2,"12.99","24.99","37.98","y","completely orderable","600","557","109","1","36","2","70","y"
95,21,5,760.469,14,"7.99","84.99",2,"14.99","39.99","54.98","y","completely orderable","4000","532","129","16","46","2","179","y"
96,22,5,1149.213,11,"24.99","209.99",2,"24.99","209.99","234.98","?","?","300","514","4","1","22","1","72","n"
97,8,6,235.651,3,"3.99","59.99",3,"3.99","59.99","73.97","y","completely orderable","2400","558","109","9","57","2","28","y"
98,11,7,178.023,11,"3.99","19.99",4,"3.99","19.99","48.96","y","completely orderable","4000","546","137","7","47","1","8","y"
99,20,5,2136.617,34,"6.0","49.99",4,"19.99","39.99","119.92","y","completely orderable","2200","524","70","17","28","2","28","y"
100,13,5,1672.063,6,"19.99","29.99",1,"29.99","29.99","29.99","y","completely orderable","300","568","62","4","35","2","68","y"
102,7,5,929.681,24,"59.99","259.99",1,"119.99","119.99","119.99","?","?","2700","527","216","11","46","2","48","n"
103,10,5,1266.958,19,"2.95","149.99",7,"2.95","129.99","227.28","y","completely orderable","1400","502","119","9","32","2","14","y"
104,14,5,1953.424,49,"3.99","69.99",2,"3.99","12.49","16.48","y","completely orderable","600","507","31","20","29","2","10","n"
