"ID","od","dd","size","price","tax","a6","a7","a8","a9"
103939,"2012-06-26","?","l",NA,5.68,4,"1900-11-19",8,0
11788,"2012-04-10","2012-04-11","l",49.9,9.48,4,"1953-05-24",7,1
96553,"2012-06-20","2012-06-21","m",59.9,11.38,4,"1954-04-10",11,0
100950,"2012-06-24","2012-06-26","l",69.9,13.28,4,"1965-01-11",7,0
223454,"2012-09-22","2012-10-08","xxl",89.9,17.08,4,"1962-05-11",10,0
63989,"2012-05-22","2012-05-23","xxl",39.9,7.58,4,"1955-05-23",15,1
195019,"2012-09-06","2012-09-07","xl",39.9,7.58,4,"1969-03-25",10,1
183130,"2012-08-25","2012-08-29","m",59.9,11.38,2,"1971-04-15",1,0
337506,"2013-01-13","2013-01-21","S",69.9,13.28,4,"1957-01-23",1,1
477624,"2013-03-29","2013-04-11","XL",39.9,7.58,4,"1967-07-03",11,0
56673,"2012-05-17","2012-05-22","l",69.9,13.28,4,"1967-06-22",7,0
4303,"2012-04-05","2012-04-09","l",59.9,11.38,4,"1966-11-30",3,0
429585,"2013-03-06","2013-03-07","L",69.9,13.28,4,"1969-02-06",15,1
147625,"2012-08-01","2012-08-03","m",199.9,37.98,4,"1977-07-21",8,1
249941,"2012-10-15","2012-10-22","m",199.9,37.98,4,"?",7,1
254168,"2012-10-18","2012-12-07","m",29.9,5.68,4,"1961-11-20",2,0
201275,"2012-09-12","2012-11-09","s",39.9,7.58,4,"1952-11-30",10,1
470819,"2013-03-25","2013-04-19","XXL",49.9,9.48,4,"?",10,0
177251,"2012-08-22","2012-09-24","xl",34.95,6.64,4,"1970-02-23",10,0
249392,"2012-10-14","2012-10-30","xxl",99.9,18.98,4,"1960-09-24",10,0
436295,"2013-03-09","2013-03-11","L",16.9,3.21,4,"1955-02-17",8,1
10060,"2012-04-08","2012-04-13","m",21.9,4.16,3,"1970-11-19",6,0
157244,"2012-08-07","2012-08-08","xxl",29.9,5.68,4,"1968-07-03",7,1
54754,"2012-05-15","2012-05-18","xl",69.9,13.28,4,"?",10,1
269509,"2012-10-30","2012-12-12","m",49.9,9.48,4,"1956-03-13",15,0
442174,"2013-03-11","2013-03-12","M",49.9,9.48,4,"1957-03-10",11,0
197437,"2012-09-08","2012-09-14","xl",26.9,5.11,4,"1959-09-01",10,0
190288,"2012-09-02","2012-09-04","xxl",39.9,7.58,4,"1960-11-06",15,0
466394,"2013-03-23","2013-05-01","XXL",26.9,5.11,4,"1959-01-12",10,0
414885,"2013-03-01","2013-03-05","XXL",69.9,13.28,4,"1971-09-13",10,1
93083,"2012-06-16","2012-06-19","xl",59.9,11.38,4,"1968-04-03",10,0
468748,"2013-03-24","2013-05-30","L",26.9,5.11,4,"1965-05-29",2,0
236984,"2012-10-03","2012-10-04","xxl",34.9,6.63,4,"1980-07-03",2,1
436840,"2013-03-09","2013-03-12","XXL",119.9,22.78,4,"1953-11-21",8,1
2292,"2012-04-02","?","s",9.9,1.88,4,"1972-12-09",11,0
427391,"2013-03-05","2013-03-07","XL",24.9,4.73,4,"?",15,0
399018,"2013-02-22","?","XL",79.9,15.18,4,"1977-08-03",13,0
455079,"2013-03-17","2013-03-19","M",29.9,5.68,4,"1957-06-17",7,1
115040,"2012-06-29","2012-07-02","xxl",44.9,8.53,4,"1958-12-31",7,1
373926,"2013-02-01","2013-04-18","S",59.9,11.38,4,"1966-07-18",7,0
463207,"2013-03-21","2013-04-25","L",79.9,15.18,4,"1958-05-15",10,0
359219,"2013-01-22","2013-01-24","M",49.9,9.48,4,"1966-06-09",10,1
293544,"2012-12-03","2012-12-05","M",29.9,5.68,4,"1968-11-08",8,1
83244,"2012-06-06","2012-06-07","m",69.95,13.29,4,"1969-10-07",11,1
197249,"2012-09-08","2012-09-11","l",16.9,3.21,4,"1977-09-01",8,0
93272,"2012-06-16","2012-06-19","l",24.9,4.73,4,"1960-05-21",11,1
403856,"2013-02-25","2013-02-27","L",34.9,6.63,4,"?",8,0
341279,"2013-01-14","?","XXL",19.9,3.78,4,"1970-02-26",2,0
117719,"2012-06-29","2012-07-06","s",39.9,7.58,4,"1969-05-05",1,0
450897,"2013-03-15","2013-03-18","L",26.9,5.11,4,"1966-03-23",8,0
479396,"2013-03-30","2013-04-04","XL",99.9,18.98,4,"1975-06-16",1,1
273843,"2012-11-05","2012-11-06","m",26.9,5.11,4,"1949-11-19",2,1
301628,"2012-12-15","2012-12-17","M",29.9,5.68,4,"1979-08-23",1,1
435237,"2013-03-08","2013-03-13","M",99.9,18.98,4,"1959-07-06",5,0
115175,"2012-06-29","?","l",17.4,3.31,4,"1965-06-08",2,0
441421,"2013-03-11","2013-03-13","L",69.9,13.28,4,"1969-09-23",1,0
334569,"2013-01-12","2013-02-04","S",49.9,9.48,4,"?",2,1
370945,"2013-01-30","2013-01-31","L",24.9,4.73,4,"1961-07-16",7,1
327562,"2013-01-10","?","XL",29.9,5.68,4,"1979-05-07",11,0
68262,"2012-05-25","2012-05-29","xl",69.9,13.28,4,"1962-07-17",5,1
83912,"2012-06-07","2012-06-12","xxl",29.9,5.68,4,"1963-03-02",1,1
157494,"2012-08-07","2012-08-08","s",49.9,9.48,4,"1964-04-14",7,0
186702,"2012-08-29","2012-08-31","xxl",89.9,17.08,4,"1961-05-06",3,0
33536,"2012-04-26","2012-04-30","m",99.9,18.98,4,"1966-07-20",11,1
416592,"2013-03-02","?","XL",26.9,5.11,4,"1951-08-21",10,0
125406,"2012-07-03","2012-07-04","m",59.9,11.38,4,"1967-06-10",10,0
290784,"2012-11-28","?","L",119.9,22.78,4,"1971-01-19",5,0
161594,"2012-08-09","2012-08-13","xl",26.9,5.11,4,"1961-11-26",11,1
260795,"2012-10-22","2012-10-24","l",49.9,9.48,4,"?",9,0
391099,"2013-02-15","?","XL",99.9,18.98,4,"1962-04-26",8,0
73622,"2012-05-29","2012-06-01","m",49.9,9.48,4,"1965-04-22",10,1
88366,"2012-06-10","2012-06-18","xl",49.9,9.48,4,"1966-01-14",2,1
