id,TimeOfStop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,PersonalInjury,ProperyDamage,Fatal,CommercialLicense,HAZMAT,CommercialVehicle,Alcohol,WorkZOne,State,VehicleType,Year,Make,Model,Color,Charge,Article,ContributedToAccident,Race,Gender,DriverCity,DriverState,DLState,ArrestType,Geolocation,Citation
1,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,HAMPDEN LN  RT 355,-77.09395,38.98292,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,1999,JEEP,V8 TK,SILVER,13-411,Transportation Article,No,WHITE,M,MCLEAN,VA,VA,A - Marked Patrol,,No
4,00:00:00,MCP,Headquarters and Special Operations,EXCEEDING SPEED LIMIT IN SCHOOL ZONE WITH  35 MPH IN 25 ZONE,18800BLK WARING STATION RD  CLEMENTE MS,-77.24782667,39.164245,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2016,HYUN,ELANTRA 4D,BLUE DARK,21-803.1,Transportation Article,No,BLACK,F,GERMANTOWN,MD,MD,Q - Marked Laser,,No
6,00:00:00,MCP,Headquarters and Special Operations,DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,FLOWER AVE AT HOUSTON AVE,NA,NA,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2010,NISSAN,VERSA,WHITE,16-101,Transportation Article,No,HISPANIC,M,FAIRFAX,VA,XX,A - Marked Patrol,,Yes
7,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,FLOWER AVE DOMER AVE,38.99657,-77.002565,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2011,GMC,ACADIA,BROWN,21-201,Transportation Article,No,HISPANIC,F,HYATTSVILLE,MD,MD,A - Marked Patrol,,No
8,00:00:00,MCP,Headquarters and Special Operations,VEH. DRIVER GIVING FALSE AND FICTITIOUS NAME TO UNIFORMED POLICE,270 RAMP AND 124,39.14889,-77.21490667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1999,JEEP,WRANGLER,GREEN DK,16-112,Transportation Article,No,WHITE,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
9,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,TRIANGLE LN AND REEDIE DR,39.05692333,-77.05067167,No,No,No,No,No,No,No,No,No,No,VA,02 - Automobile,2011,SUBARU,IMPREZA,WHITE,21-902,Transportation Article,No,HISPANIC,M,GAITHERSBURG,MD,MD,A - Marked Patrol,,Yes
10,00:00:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 8855,NB I270  MONTGOMERY VILLAGE AVE,39.14918333,-77.21719,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1994,HOND,ACCORD,TAN,21-801,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,No
11,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO STOP AT STOP SIGN LINE,WESTLAKE  AUTO PARK AVE,39.02641167,-77.139515,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,TOYOTA,CAMRY,BLUE,21-707,Transportation Article,No,WHITE,M,SILVER SPRING,MD,MD,B - Unmarked Patrol,,No
12,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO USE SIGNAL LAMP BEFORE TURN,BARRON ST  GILBERT PL,-76.99723833,38.99888,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1993,MITS,TRUCK,WHITE,21-605,Transportation Article,No,HISPANIC,M,SILVER SPRING,MD,MD,A - Marked Patrol,,No
14,00:00:00,MCP,Headquarters and Special Operations,DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK,MUDDY BRANCH RD  SUFFIELD DR,39.11243167,-77.216935,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2013,HOND,SUV,SILVER,21-502,Transportation Article,No,ASIAN,F,ROCKVILLE,MD,MD,A - Marked Patrol,,Yes
